Timestamp,Src IP,Src Port,Dest IP,Dest Port,Proto,Signature,Category,Severity,Metadata,Signature ID,Event Type
12/24/23 11:59 PM,10.8.80.169,32653,8.8.8.8,53,UDP,ET POLICY possible Xiaomi phone data leakage DNS,Potential Corporate Privacy Violation,1,"{'updated_at': ['2020_09_15'], 'created_at': ['2014_08_11']}",2018918,alert
12/24/23 11:58 PM,10.0.5.230,63855,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:57 PM,10.0.5.230,54136,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:57 PM,10.8.80.169,3604,8.8.8.8,53,UDP,ET POLICY possible Xiaomi phone data leakage DNS,Potential Corporate Privacy Violation,1,"{'updated_at': ['2020_09_15'], 'created_at': ['2014_08_11']}",2018918,alert
12/24/23 11:57 PM,10.0.5.230,54136,8.217.48.154,53,UDP,ET MALWARE Win32/PlugX Variant CnC Activity,A Network Trojan was detected,1,"{'updated_at': ['2022_05_06'], 'signature_severity': ['Major'], 'performance_impact': ['Low'], 'malware_family': ['Win32_DLOADR_TIOIBEPQ'], 'former_category': ['MALWARE'], 'deployment': ['Internal', 'Perimeter'], 'created_at': ['2022_05_05'], 'attack_target': ['Client_Endpoint']}",2036499,alert
12/24/23 11:57 PM,10.0.5.230,54136,8.217.48.154,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:56 PM,10.0.5.230,55689,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:55 PM,10.0.5.230,54136,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:55 PM,10.0.5.230,54136,8.217.48.154,53,UDP,ET MALWARE Win32/PlugX Variant CnC Activity,A Network Trojan was detected,1,"{'updated_at': ['2022_05_06'], 'signature_severity': ['Major'], 'performance_impact': ['Low'], 'malware_family': ['Win32_DLOADR_TIOIBEPQ'], 'former_category': ['MALWARE'], 'deployment': ['Internal', 'Perimeter'], 'created_at': ['2022_05_05'], 'attack_target': ['Client_Endpoint']}",2036499,alert
12/24/23 11:55 PM,10.0.5.230,54136,8.217.48.154,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:53 PM,10.0.5.230,63319,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:53 PM,10.0.5.230,63319,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:52 PM,10.0.5.230,62819,8.217.48.154,53,UDP,ET MALWARE Win32/PlugX Variant CnC Activity,A Network Trojan was detected,1,"{'updated_at': ['2022_05_06'], 'signature_severity': ['Major'], 'performance_impact': ['Low'], 'malware_family': ['Win32_DLOADR_TIOIBEPQ'], 'former_category': ['MALWARE'], 'deployment': ['Internal', 'Perimeter'], 'created_at': ['2022_05_05'], 'attack_target': ['Client_Endpoint']}",2036499,alert
12/24/23 11:52 PM,10.0.5.230,62819,8.217.48.154,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:51 PM,10.0.5.230,60421,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:51 PM,10.0.5.230,63697,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:49 PM,10.0.5.230,58359,8.217.48.154,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:49 PM,10.0.5.230,58359,8.217.48.154,53,UDP,ET MALWARE Win32/PlugX Variant CnC Activity,A Network Trojan was detected,1,"{'updated_at': ['2022_05_06'], 'signature_severity': ['Major'], 'performance_impact': ['Low'], 'malware_family': ['Win32_DLOADR_TIOIBEPQ'], 'former_category': ['MALWARE'], 'deployment': ['Internal', 'Perimeter'], 'created_at': ['2022_05_05'], 'attack_target': ['Client_Endpoint']}",2036499,alert
12/24/23 11:49 PM,10.0.5.230,54650,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:49 PM,10.0.5.230,64241,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:47 PM,10.0.5.230,56090,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 6 or 7 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_04_18'], 'created_at': ['2012_05_04']}",2014701,alert
12/24/23 11:47 PM,10.0.5.230,56090,45.133.238.117,53,UDP,ET DNS Non-DNS or Non-Compliant DNS traffic on DNS port Opcode 8 through 15 set,Potential Corporate Privacy Violation,1,"{'updated_at': ['2022_07_18'], 'performance_impact': ['Significant'], 'former_category': ['DNS'], 'created_at': ['2012_05_04']}",2014702,alert
12/24/23 11:46 PM,10.0.5.230,54136,8.217.48.154,53,UDP,ET MALWARE Win32/PlugX Variant CnC Activity,A Network Trojan was detected,1,"{'updated_at': ['2022_05_06'], 'signature_severity': ['Major'], 'performance_impact': ['Low'], 'malware_family': ['Win32_DLOADR_TIOIBEPQ'], 'former_category': ['MALWARE'], 'deployment': ['Internal', 'Perimeter'], 'created_at': ['2022_05_05'], 'attack_target': ['Client_Endpoint']}",2036499,alert
